                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.35332,                0.27631,                0.88718,                0.97835,                0.99953,                0.98589,                0.96079,                0.28813,                0.22866,                0.78571,             0.00041275,             0.00041275,             0.00041275
                     78,                0.35409,                0.28966,                 0.8946,                0.98322,                0.99811,                0.98596,                0.96118,                0.28928,                0.21803,                0.78675,             0.00039625,             0.00039625,             0.00039625
                     79,                0.37167,                0.30111,                0.91399,                0.98313,                      1,                0.98552,                0.96481,                0.28606,                0.21715,                0.78524,             0.00037974,             0.00037974,             0.00037974
                     80,                0.33685,                0.28655,                0.89284,                0.98374,                      1,                0.98547,                0.96063,                0.28133,                 0.2129,                0.78552,             0.00036324,             0.00036324,             0.00036324
                     81,                 0.3522,                 0.2749,                0.89736,                0.98643,                      1,                 0.9857,                0.95827,                0.28598,                0.21395,                 0.7861,             0.00034674,             0.00034674,             0.00034674
                     82,                0.34496,                0.26952,                0.88202,                0.98605,                      1,                0.98608,                0.95953,                0.29482,                0.21702,                0.78838,             0.00033023,             0.00033023,             0.00033023
                     83,                0.35603,                0.28473,                0.89914,                0.98395,                      1,                0.98637,                0.95521,                0.30044,                0.21638,                0.78948,             0.00031373,             0.00031373,             0.00031373
                     84,                0.33925,                0.28397,                0.89483,                0.98463,                      1,                0.98489,                 0.9594,                0.28484,                0.20858,                0.78463,             0.00029723,             0.00029723,             0.00029723
                     85,                0.32943,                0.26857,                0.89804,                0.98492,                      1,                0.98479,                0.96075,                0.28607,                0.20516,                0.78411,             0.00028072,             0.00028072,             0.00028072
                     86,                0.34029,                0.26427,                0.89607,                0.98356,                 0.9936,                0.98599,                0.96018,                0.28844,                0.20568,                0.78257,             0.00026422,             0.00026422,             0.00026422
                     87,                0.31975,                0.25851,                0.87891,                0.98429,                0.99284,                 0.9859,                0.96345,                0.28338,                0.20877,                0.78199,             0.00024772,             0.00024772,             0.00024772
                     88,                0.32779,                0.26661,                0.89283,                0.98512,                0.99585,                0.98646,                0.96232,                0.28207,                0.20097,                0.78132,             0.00023121,             0.00023121,             0.00023121
                     89,                0.34033,                0.26796,                0.89277,                0.98537,                0.99934,                0.98758,                0.96167,                0.28515,                0.20105,                 0.7832,             0.00021471,             0.00021471,             0.00021471
                     90,                0.33752,                0.26777,                0.90802,                0.98471,                      1,                0.98748,                0.96265,                0.28249,                0.20285,                0.78315,             0.00019821,             0.00019821,             0.00019821
                     91,                0.23029,                0.19717,                  0.794,                0.98495,                      1,                0.98755,                 0.9642,                0.28602,                0.19578,                0.78269,              0.0001817,              0.0001817,              0.0001817
                     92,                0.23241,                0.20612,                0.80629,                0.98578,                      1,                0.98736,                0.96126,                0.28495,                0.19539,                0.78261,              0.0001652,              0.0001652,              0.0001652
                     93,                0.24007,                0.20788,                0.80407,                0.98633,                      1,                0.98647,                0.96181,                0.27553,                0.20081,                0.78195,              0.0001487,              0.0001487,              0.0001487
                     94,                0.23197,                0.19612,                0.80955,                0.98639,                      1,                0.98802,                0.96283,                0.28245,                0.20347,                0.78276,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.2258,                0.20077,                0.79522,                0.98649,                      1,                  0.988,                0.96458,                0.27809,                0.19729,                0.78172,             0.00011569,             0.00011569,             0.00011569
                     96,                0.23109,                0.19497,                0.80234,                0.98644,                      1,                0.98795,                 0.9677,                0.27084,                0.19268,                0.77966,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.22145,                0.18716,                0.80203,                0.98577,                      1,                0.98753,                0.96499,                0.27259,                0.19195,                 0.7809,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.21976,                0.18858,                0.80335,                0.98584,                      1,                0.98763,                0.96365,                0.27478,                0.18928,                0.78163,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.22249,                  0.191,                0.79666,                0.98615,                      1,                0.98753,                0.96818,                0.26683,                0.18547,                0.77891,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.20816,                0.17626,                0.79288,                0.98611,                      1,                0.98727,                 0.9653,                0.26682,                0.18534,                 0.7785,             3.3173e-05,             3.3173e-05,             3.3173e-05
